Despesa/Custo;Portador;Empresa;Departamento;Documento;Emissão;Vencimento;Entrada;Pessoa;Pagamentos;Descontos;Juros e Multa;Valor Pago;Valor Parcela;Valor em Aberto;
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015263453 - 001";"06/06/2024 00:00:00";"06/07/2024 00:00:00";"18/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"403,00";"403,00";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18112707 - 001";"04/06/2024 00:00:00";"21/06/2024 00:00:00";"18/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"21091,81";"21091,81";
"BORDERÔ CNH - DESPESA";"BORDERÔ CNH";"CGM";"ADMINISTRATIVO";"7554592 - 001";"19/06/2024 00:00:00";"20/06/2024 00:00:00";"19/06/2024 00:00:00";"ADMINISTRADORA DE CONSÓRCIO NACIONAL HONDA (70172)";"0";"0";"0";"0";"1175,28";"1175,28";
"BORDERÔ CNH - DESPESA";"BORDERÔ CNH";"CGM";"ADMINISTRATIVO";"7554683 - 001";"19/06/2024 00:00:00";"20/06/2024 00:00:00";"19/06/2024 00:00:00";"ADMINISTRADORA DE CONSÓRCIO NACIONAL HONDA (70172)";"0";"0";"0";"0";"572,18";"572,18";
"COMBUSTÍVEIS E LUBRIFICANTES - CONSUMO";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"2332 - 001";"30/05/2024 00:00:00";"19/06/2024 00:00:00";"19/06/2024 00:00:00";"POSTO GAVEL LTDA (135032)";"0";"0";"0";"0";"696,15";"696,15";
"COMPRA DE ACESSÓRIOS";"DUP A PAGAR - TERCEIROS";"CGM";"PEÇAS";"000144490 - 001";"06/06/2024 00:00:00";"06/07/2024 00:00:00";"19/06/2024 00:00:00";"STARPLAST INDUSTRIA E COMERCIO LTDA (97981)";"0";"0";"0";"0";"1759,84";"1759,84";
"COMPRA DE ACESSÓRIOS";"A RECEBER BOLETOS BANCÁRIOS";"CGM";"PEÇAS";"43225 - 001";"11/06/2024 00:00:00";"11/07/2024 00:00:00";"19/06/2024 00:00:00";"4TAKES INDUSTRIA, COMERCIO, SERVICOS E PARTICIPACOES LTDA (211852)";"0";"0";"0";"0";"123,45";"123,45";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002958873 - 001";"17/06/2024 00:00:00";"01/08/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"1603,47";"1603,47";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002958911 - 001";"17/06/2024 00:00:00";"17/07/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"2772,39";"2772,39";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002958912 - 001";"17/06/2024 00:00:00";"17/07/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"4405,00";"4405,00";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002959080 - 001";"17/06/2024 00:00:00";"17/07/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"280,30";"280,30";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015265252 - 001";"07/06/2024 00:00:00";"05/10/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"155,94";"155,94";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015266318 - 001";"08/06/2024 00:00:00";"08/07/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"147,50";"147,50";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015268945 - 001";"12/06/2024 00:00:00";"10/10/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"1370,62";"1370,62";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015269001 - 001";"12/06/2024 00:00:00";"12/07/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"287,34";"287,34";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015269050 - 001";"12/06/2024 00:00:00";"12/07/2024 00:00:00";"19/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"3506,12";"3506,12";
"COMPRA DE MOTOS USADAS";"DUP A PAGAR - TERCEIROS";"CGM";"VEÍCULOS";"39093/1 - 001";"19/06/2024 00:00:00";"19/06/2024 00:00:00";"19/06/2024 00:00:00";"LUAN PEREIRA DE CARVALHO MORENO (259848)";"23100,00";"0";"0";"23100,00";"23300,00";"200,00";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18141872 - 001";"11/06/2024 00:00:00";"26/06/2024 00:00:00";"20/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"9117,02";"9117,02";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18144581 - 001";"11/06/2024 00:00:00";"26/06/2024 00:00:00";"20/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"9117,02";"9117,02";
